# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
5754 5754 0  39468
        1         1 1.8346035056960126042
        1         2 -0.22697375385388834923
        1         4 -0.22139357724412017658
        1         8 -0.37404323426705510247
        1         9 -1.0121929403309488649
        2         1 -0.22697375385388834923
        2         2 1.8274922782582114777
        2         3 -0.22214132829750532494
        2         9 -0.38313251545393467445
        2        10 -0.99524468065288340668
        3         2 -0.22214132829750532494
        3         3 1.8246052967012209578
        3        10 -0.3866123087932627489
        3        14 -0.22708848619833851834
        3        15 -0.98876317341211439338
        4         1 -0.22139357724412017658
        4         4 1.8238608351281975217
        4         5 -0.21622289693897916996
        4         8 -0.98793482825768175193
        4        16 -0.39830953268741603468
        5         4 -0.21622289693897925322
        5         5 1.8239461421068687841
        5         7 -0.23427126181299995356
        5        16 -0.98689183154436577183
        5        17 -0.38656015181052405527
        6         6 1.8346614219444281613
        6         7 -0.21474707323675601423
        6        12 -0.23400552722269998829
        6        13 -0.373801800015541974
        6        18 -1.0121070214694305456
        7         5 -0.23427126181299995356
        7         6 -0.21474707323675601423
        7         7 1.8077073877664990853
        7        17 -0.94635245022599878695
        7        18 -0.41233660249074455262
        8         1 -0.37404323426705510247
        8         4 -0.98793482825768186295
        8         8 3.6210886590507227467
        8         9 -0.52262959550638710127
        8        16 -0.48849228587809345736
        8        19 -0.35514469447100982524
        8        20 -0.89284402067049573049
        9         1 -1.0121929403309488649
        9         2 -0.38313251545393467445
        9         8 -0.52262959550638699024
        9         9 3.6593945122077884413
        9        10 -0.43530347939682245695
        9        20 -0.33325665732315101764
        9        21 -0.97287932419654454819
       10         2 -0.99524468065288340668
       10         3 -0.38661230879326280441
       10         9 -0.43530347939682245695
       10        10 3.6557797227324986267
       10        15 -0.49770665539041697434
       10        21 -0.35214951692982743303
       10        22 -0.98876308156928516269
       11        11 2.211851478194937215
       11        12 -0.2284876105567738569
       11        31 -0.63203041346732935502
       11        33 -1.3513334541708343917
       12         6 -0.23400552722269996053
       12        11 -0.2284876105567738569
       12        12 1.8138265919505787149
       12        13 -0.9608632935446705936
       12        33 -0.39047016062643402634
       13         6 -0.37380180001554191849
       13        12 -0.9608632935446705936
       13        13 4.0259799847198385336
       13        18 -0.45215825217042532325
       13        33 -0.84258155939223233766
       13        34 -1.3965750795969689158
       14         3 -0.2270884861983385461
       14        14 1.8433802076561149885
       14        15 -0.37266413310848417462
       14        23 -0.21053525616800067288
       14        35 -1.0330923321812914839
       15         3 -0.98876317341211439338
       15        10 -0.49770665539041697434
       15        14 -0.37266413310848417462
       15        15 3.6432555221807900736
       15        22 -0.35891856436440883193
       15        35 -0.46426900969717588286
       15        36 -0.96093398620819026057
       16         4 -0.39830953268741603468
       16         5 -0.98689183154436577183
       16         8 -0.48849228587809345736
       16        16 3.6518714409712331737
       16        17 -0.45401045884183188761
       16        19 -0.98790307750192907221
       16        37 -0.33626425451759744956
       17         5 -0.38656015181052405527
       17         7 -0.94635245022599878695
       17        16 -0.45401045884183177659
       17        17 3.6605573317570341274
       17        18 -0.45803103857133775634
       17        37 -1.0511808765975154678
       17        38 -0.36442235570982656201
       18         6 -1.0121070214694305456
       18         7 -0.41233660249074455262
       18        13 -0.45215825217042532325
       18        17 -0.45803103857133775634
       18        18 3.6749092845004067698
       18        34 -0.32054316890256795425
       18        38 -1.0197332008958999161
       19         8 -0.35514469447100982524
       19        16 -0.98790307750192907221
       19        19 3.6867482654657433017
       19        20 -0.51515829579969518726
       19        37 -0.56808086596182905126
       19        39 -0.23706963870613345646
       19        40 -1.0233916930251472088
       20         8 -0.89284402067049573049
       20         9 -0.33325665732315101764
       20        19 -0.51515829579969518726
       20        20 3.6760840632221829516
       20        21 -0.50450050204548102517
       20        40 -0.32329151825859880898
       20        41 -1.1070330691247611821
       21         9 -0.97287932419654454819
       21        10 -0.35214951692982743303
       21        20 -0.50450050204548102517
       21        21 3.6628664269913073781
       21        22 -0.57364143413898127655
       21        41 -0.27093228250100570564
       21        42 -0.98876336717946744503
       22        10 -0.98876308156928516269
       22        15 -0.35891856436440883193
       22        21 -0.57364143413898127655
       22        22 3.6531369106440281236
       22        36 -0.44639886320640476125
       22        42 -0.32503891115227234732
       22        43 -0.96037605621267518874
       23        14 -0.21053525616800072839
       23        23 1.8184582063121232931
       23        35 -0.40595692902603147667
       23        44 -0.97455332079035139614
       23        45 -0.22741270032773996945
       24        24 1.8208555696867811946
       24        46 -0.23166896894931085504
       24        51 -0.22237698298250896389
       24        53 -0.38815249790970229871
       24        54 -0.97865711984525893818
       25        25 2.2230535998386908858
       25        27 -0.21717356161158180017
       25        48 -0.61146649535735653203
       25        56 -1.3944135428697534973
       26        26 1.8231621214552133914
       26        27 -0.24266406934098078141
       26        28 -0.21956816934981226996
       26        55 -0.98332545117560321568
       26        57 -0.37760443158881701331
       27        25 -0.21717356161158180017
       27        26 -0.24266406934098078141
       27        27 1.8023467953770173633
       27        56 -0.41160293015349619372
       27        57 -0.93090623427095875453
       28        26 -0.21956816934981226996
       28        28 1.8228119335423857983
       28        29 -0.22623615926928847264
       28        55 -0.39240747407020476478
       28        59 -0.98460013085308073499
       29        28 -0.2262361592692885004
       29        29 1.8368462425197682464
       29        30 -0.23360247832706831916
       29        59 -0.36139772505187206519
       29        60 -1.0156098798715391673
       30        29 -0.23360247832706831916
       30        30 1.8277378346042474355
       30        31 -0.22740504852264323277
       30        32 -0.99399566953623552656
       30        60 -0.37273463821830021825
       31        11 -0.63203041346732935502
       31        30 -0.22740504852264323277
       31        31 1.9391152518582079889
       31        32 -0.78413119015955035085
       31        33 -0.0015877695124958957074
       31        63 -0.29396083019618862719
       32        30 -0.99399566953623552656
       32        31 -0.78413119015955035085
       32        32 3.9448966886157905698
       32        60 -0.44110696080156192034
       32        61 -0.33836586524837219958
       32        62 -1.2564478805968177788
       32        63 -0.13084912227325257161
       33        11 -1.3513334541708341696
       33        12 -0.39047016062643402634
       33        13 -0.84258155939223233766
       33        31 -0.0015877695124958957074
       33        33 4.1124415115685994948
       33        34 -0.070547648518894806591
       33        63 -1.1750671166903567944
       33        65 -0.28085380265735082617
       34        13 -1.3965750795969689158
       34        18 -0.32054316890256795425
       34        33 -0.070547648518894862102
       34        34 4.0408687989404210583
       34        38 -0.57545764662648157817
       34        64 -1.0132343995799129033
       34        65 -0.66451085571559531662
       35        14 -1.0330923321812912619
       35        15 -0.46426900969717588286
       35        23 -0.40595692902603147667
       35        35 3.6415765898323817495
       35        36 -0.35748557882595494162
       35        44 -0.46691991665288301583
       35        66 -0.91385282344904439356
       36        15 -0.96093398620819026057
       36        22 -0.44639886320640476125
       36        35 -0.35748557882595494162
       36        36 3.6438025018539232924
       36        43 -0.33314737742180100533
       36        66 -0.57752811787659252829
       36        67 -0.96830857831498007293
       37        16 -0.33626425451759744956
       37        17 -1.0511808765975154678
       37        19 -0.56808086596182905126
       37        37 3.6902380696935850324
       37        38 -0.419161813966057617
       37        39 -0.98786956131758874022
       37        69 -0.32768069733299709512
       38        17 -0.36442235570982661752
       38        18 -1.0197332008958999161
       38        34 -0.57545764662648146714
       38        37 -0.41916181396605767251
       38        38 3.6719894379258652961
       38        64 -0.31934364107369450636
       38        69 -0.97387077965390533851
       39        19 -0.23706963870613345646
       39        37 -0.98786956131758874022
       39        39 3.9008994837540793554
       39        40 -0.6688589418060975067
       39        69 -0.82214810268530791326
       39        70 -1.1849532392389514612
       40        19 -1.0233916930251472088
       40        20 -0.32329151825859880898
       40        39 -0.6688589418060975067
       40        40 3.6944071145353127861
       40        41 -0.4278479158557059181
       40        70 -0.27803198662050948586
       40        71 -0.97298505896925435721
       41        20 -1.10703306912476096
       41        21 -0.27093228250100570564
       41        40 -0.4278479158557059181
       41        41 3.737901587290891392
       41        42 -0.6544663420854373026
       41        71 -0.28885909398840825535
       41        73 -0.98876288373557308375
       42        21 -0.98876336717946755606
       42        22 -0.3250389111522722918
       42        41 -0.6544663420854373026
       42        42 3.670402976520712901
       42        43 -0.45248500307757827388
       42        73 -0.29296094043154519149
       42        74 -0.95668841259441206315
       43        22 -0.96037605621267518874
       43        36 -0.33314737742180100533
       43        42 -0.45248500307757832939
       43        43 3.6589407643792348779
       43        67 -0.64147921644200334157
       43        74 -0.30314426933802035569
       43        75 -0.96830884188715704575
       44        23 -0.97455332079035139614
       44        35 -0.46691991665288301583
       44        44 3.6720703051470540146
       44        45 -0.38396396198285387413
       44        66 -0.35188333849299124889
       44        76 -1.051038092293985482
       44        77 -0.44371167493398983028
       45        23 -0.22741270032773996945
       45        44 -0.38396396198285387413
       45        45 1.832895494581784579
       45        77 -1.0091305459629489327
       45        78 -0.21238828630824160837
       46        24 -0.23166896894931085504
       46        46 1.840798637337259569
       46        49 -0.24229891508892562046
       46        54 -0.34514264880452827366
       46        81 -1.0216881044944947643
       47        47 1.8139688163979423852
       47        48 -0.23505542364341514006
       47        50 -0.24206478502370548656
       47        82 -0.37887013457756513191
       47        83 -0.95797847315325679318
       48        25 -0.61146649535735653203
       48        47 -0.2350554236434151123
       48        48 1.9372828464162858975
       48        56 -0.036395183564193800407
       48        83 -0.79941646479944483694
       48        84 -0.25494927905187525496
       49        46 -0.24229891508892562046
       49        49 1.8283881222721569682
       49        50 -0.23337829128361076148
       49        81 -0.36035704912268629041
       49        85 -0.992353866776934046
       50        47 -0.24206478502370540329
       50        49 -0.23337829128361076148
       50        50 1.8230960162460649876
