# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
5754 5754 0  39468
        1         1 1.7750467597456419269e-05
        1         2 2.9757585628314252906e-06
        1         4 2.9757585628314422313e-06
        1         8 5.8994752358967868851e-06
        1         9 5.8994752358967716385e-06
        2         1 2.9757585628314252906e-06
        2         2 1.8104282243459616695e-05
        2         3 2.9992567266446727129e-06
        2         9 6.0528843950851398697e-06
        2        10 6.0763825588983839038e-06
        3         2 2.9992567266446731364e-06
        3         3 1.7896975050183991482e-05
        3        10 5.9492307984473738502e-06
        3        14 2.9992567266446227379e-06
        3        15 5.9492307984473238752e-06
        4         1 2.9757585628314422313e-06
        4         4 1.7750224802240249756e-05
        4         5 2.975697402877785163e-06
        4         8 5.899414998242340562e-06
        4        16 5.8993538382886826467e-06
        5         4 2.975697402877785163e-06
        5         5 1.814117686896897562e-05
        5         7 3.0743280212736355245e-06
        5        16 5.996260413210853556e-06
        5        17 6.0948910316067060351e-06
        6         6 1.7993054603101623951e-05
        6         7 2.9483346945007117397e-06
        6        12 3.0526175119354156452e-06
        6        13 6.0481926070501010827e-06
        6        18 5.9439097896153997183e-06
        7         5 3.0743280212736355245e-06
        7         6 2.9483346945007117397e-06
        7         7 1.8155118020409507156e-05
        7        17 6.1292243157040435326e-06
        7        18 6.0032309889311210184e-06
        8         1 5.8994752358967868851e-06
        8         4 5.899414998242340562e-06
        8         8 3.6792383007407252773e-05
        8         9 6.1803946057217999313e-06
        8        16 5.9487959338566663342e-06
        8        19 6.31638189973948674e-06
        8        20 6.5479203339501757081e-06
        9         1 5.8994752358967716385e-06
        9         2 6.0528843950851398697e-06
        9         8 6.1803946057217999313e-06
        9         9 3.7300067265799482911e-05
        9        10 6.2803125903299336977e-06
        9        20 6.4702458066730386604e-06
        9        21 6.4167546320928050426e-06
       10         2 6.0763825588983839038e-06
       10         3 5.9492307984473738502e-06
       10         9 6.2803125903299328507e-06
       10        10 3.6544107305184162112e-05
       10        15 5.9975276935162472524e-06
       10        21 6.1981434001774532878e-06
       10        22 6.042510263814775202e-06
       11        11 1.2210470047742850121e-05
       11        12 3.0526175119356396854e-06
       11        31 3.0526175119357874926e-06
       11        33 6.1052350238714259075e-06
       12         6 3.0526175119354156452e-06
       12        11 3.0526175119356392619e-06
       12        12 1.8197582407985122481e-05
       12        13 6.0461736920569202845e-06
       12        33 6.0461736920571455952e-06
       13         6 6.0481926070501002357e-06
       13        12 6.0461736920569211315e-06
       13        13 2.9863877881051248224e-05
       13        18 5.9918034111732543934e-06
       13        33 5.8875180174169557676e-06
       13        34 5.8901901533540200842e-06
       14         3 2.9992567266446227379e-06
       14        14 1.7723470909684645766e-05
       14        15 5.9506803003507637039e-06
       14        23 2.9110551544915591788e-06
       14        35 5.8624787281977018389e-06
