# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
3059 3059 0  21007
        1         1 1.000000000000000222
        1         2 -0.50000000000000266454
        1         3 -0.49999999999999744649
        2         1 -0.50000000000000266454
        2         2 2.1111111139568228268
        2         3 -0.1111111002974191353
        2         6 -0.16666667435007764819
        2         7 -1.3333333393093234065
        3         1 -0.49999999999999744649
        3         2 -0.1111111002974191353
        3         3 1.8838383728536034489
        3         4 -0.20833331668594468056
        3         5 -0.90909088819966077377
        3         7 -0.15530306767058119077
        4         3 -0.20833331668594468056
        4         4 1.7916666645323857665
        4         5 -0.50000005805243763479
        4        10 -0.24999997353491792973
        4        11 -0.83333331625908568796
        5         3 -0.90909088819966088479
        5         4 -0.50000005805243763479
        5         5 3.8303030144028196169
        5         7 -0.55454541036267024356
        5         8 -0.97777779697682265514
        5        11 -0.88888886081122797655
        6         2 -0.16666667435007767595
        6         6 1.7638888830729746449
        6         7 -0.58333332031422047148
        6         9 -0.25000002273009092058
        6        12 -0.76388886567858560461
        7         2 -1.3333333393093234065
        7         3 -0.15530306767058127404
        7         5 -0.55454541036267024356
        7         6 -0.5833333203142205825
        7         7 3.8931817934156467409
        7         8 -0.84999997809243155178
        7        12 -0.41666667766641946047
        8         5 -0.97777779697682265514
        8         7 -0.84999997809243155178
        8         8 4.0037037508801924801
        8        11 -0.25925926842875829381
        8        12 -0.41666665722657914017
        8        13 -0.083333309856244042191
        8        14 -1.416666740299356686
        9         6 -0.2500000227300910316
        9         9 1.7521739095841712963
        9        12 -0.47101446271331898208
        9        15 -0.74782605187814699121
        9        16 -0.28333337226261434694
       10         4 -0.24999997353491798524
       10        10 1.8703703845567516417
       10        11 -0.37037041908467588369
       10        17 -0.16666662568847437353
       10        18 -1.0833333662486837046
       11         4 -0.83333331625908568796
       11         5 -0.88888886081122797655
       11         8 -0.25925926842875829381
       11        10 -0.37037041908467582818
       11        11 3.8518518231312826039
       11        13 -1.2499999717207854744
       11        18 -0.24999998682674973161
