# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
3059 3059 0  21007
        1         1 0.00083333333333333761521
        1         2 0.0004166666666666688076
        1         3 0.00041666666666666907866
        2         1 0.0004166666666666688076
        2         2 0.0022222222179536649245
        2         3 0.00083333332906477424785
        2         6 0.00027777777991205853964
        2         7 0.00069444444231016387147
        3         1 0.00041666666666666902444
        3         2 0.00083333332906477435627
        3         3 0.0030555555459512882474
        3         4 0.00031249999039573476099
        3         5 0.00069444444391086987585
        3         7 0.00079861111591324066353
        4         3 0.00031249999039573476099
        4         4 0.0017187499487772582487
        4         5 0.00054687498399289447178
        4        10 0.00031249999039573492362
        4        11 0.00054687498399289447178
        5         3 0.00069444444391086987585
        5         4 0.00054687498399289447178
        5         5 0.0028472222293364898502
        5         7 0.00064236112907463806081
        5         8 0.00049479167716021555529
        5        11 0.00046874999519787232012
        6         2 0.00027777777991205848543
        6         6 0.0018888889452339031102
        6         7 0.00061111112605107724763
        6         9 0.00033333334656587463272
        6        12 0.00066666669270489301545
        7         2 0.00069444444231016376305
        7         3 0.00079861111591324066353
        7         5 0.00064236112907463806081
        7         6 0.00061111112605107724763
        7         7 0.0040625000825966614201
        7         8 0.00062152779933401301575
        7        12 0.00069444446991352910305
        8         5 0.00049479167716021555529
        8         7 0.00062152779933401301575
        8         8 0.00355902781085913264
        8        11 0.00054687500907069606926
        8        12 0.00069444444942443235569
        8        13 0.00059027777884491862588
        8        14 0.00061111109702485766869
        9         6 0.00033333334656587463272
        9         9 0.0020000000914895030811
        9        12 0.00065277780217972162981
        9        15 0.00066666669917887690783
        9        16 0.00034722224356503012758
       10         4 0.00031249999039573492362
       10        10 0.0018055554602243346907
       10        11 0.00062499997154291881199
       10        17 0.00027777775856924869597
       10        18 0.00059027773971643258434
       11         4 0.00054687498399289447178
       11         5 0.00046874999519787242854
       11         8 0.00054687500907069606926
       11        10 0.00062499997154291881199
       11        11 0.003368055516071359265
       11        13 0.0005902777912948881751
       11        18 0.0005902777649720894167
       12         6 0.00066666669270489301545
       12         7 0.00069444446991352899463
       12         8 0.00069444444942443235569
       12         9 0.00065277780217972152139
       12        12 0.0052976191050413653019
       12        14 0.00078571428071397080538
       12        15 0.00083531745532730919401
       12        21 0.00096825395477751039115
       13         8 0.00059027777884491862588
       13        11 0.0005902777912948881751
       13        13 0.003442460318273372552
       13        14 0.00055555554935597824522
       13        18 0.00055555556383859593279
       13        20 0.00057539681848581963886
       13        22 0.00057539681645317204261
       14         8 0.00061111109702485766869
       14        12 0.00078571428071397080538
       14        13 0.0005555555493559781368
       14        14 0.0032777777675738846083
       14        21 0.00075000000878104166463
       14        22 0.00057539683169803589914
       15         9 0.00066666669917887690783
       15        12 0.00083531745532730908559
       15        15 0.0043690476456803911329
       15        16 0.00068576391850203358667
       15        21 0.00087549601406199204379
       15        25 0.00066344244901085354469
       15        26 0.00064236110959932683166
       16         9 0.00034722224356503012758
       16        15 0.00068576391850203358667
       16        16 0.00199652786048115519
       16        26 0.00065104168667554757587
       16        27 0.00031250001173854406256
       17        10 0.00027777775856924864176
       17        17 0.0025694443295489820082
       17        18 0.00076388884744826672773
       17        19 0.00052083331732622492691
       17        28 0.0010069444062052422539
       18        10 0.00059027773971643258434
       18        11 0.0005902777649720894167
       18        13 0.00055555556383859593279
       18        17 0.00076388884744826661931
       18        18 0.0038888888130202753021
       18        20 0.00059027779408978194031
       18        28 0.00079861110295510913393
       19        17 0.00052083331732622492691
       19        19 0.0022395832842448670785
       19        23 0.00059895832479620893761
       19        24 0.00031249999039573476099
       19        28 0.00080729165172669877827
       20        13 0.00057539681848581963886
       20        18 0.00059027779408978194031
       20        20 0.0030332341737858608058
       20        22 0.00059523809218912243375
       20        28 0.00064360121469011740206
       20        30 0.00062872025433101960765
       21        12 0.00096825395477751039115
       21        14 0.00075000000878104166463
       21        15 0.00087549601406199204379
       21        21 0.005965939146101290752
       21        22 0.00072751323056219840101
       21        25 0.00083085318129397711315
       21        31 0.00092757937336240695383
       21        32 0.0008862433832621653771
       22        13 0.00057539681645317204261
       22        14 0.00057539683169803579072
       22        20 0.00059523809218912243375
       22        21 0.00072751323056219850943
       22        22 0.0038789682540360057722
       22        30 0.00063657408000263298459
       22        32 0.00076884920313084477005
       23        19 0.00059895832479620893761
       23        23 0.0029583332430532585655
       23        24 0.00062499997161406491749
       23        28 0.00056249999263673240973
       23        29 0.00056770831551209062233
       23        34 0.00060416663849416211204
       24        19 0.00031249999039573476099
       24        23 0.00062499997161406491749
       24        24 0.0018333332543649387587
       24        33 0.00029166665556840500398
       24        34 0.00060416663678673483522
       25        15 0.00066344244901085354469
       25        21 0.00083085318129397711315
       25        25 0.003467261913874947199
       25        26 0.00053819443626303370507
       25        31 0.00083581350632591037281
       25        36 0.00059895834098117354746
       26        15 0.00064236110959932672324
       26        16 0.00065104168667554757587
       26        25 0.00053819443626303370507
       26        26 0.0034722223147077195884
       26        27 0.00058593753361492321476
       26        36 0.00050781251413960985623
       26        37 0.00054687503441527862171
       27        16 0.00031250001173854411677
       27        26 0.00058593753361492321476
       27        27 0.0017968750907069337957
       27        37 0.00058593753361492310634
       27        38 0.00031250001173854406256
       28        17 0.0010069444062052422539
       28        18 0.00079861110295510935077
       28        19 0.00080729165172669877827
       28        20 0.00064360121469011740206
       28        23 0.00056249999263673240973
       28        28 0.0060198412144719286657
       28        29 0.00064062498730103173937
       28        30 0.00076339286525312500652
       28        40 0.00079687499370387226711
       29        23 0.00056770831551209062233
       29        28 0.00064062498730103184779
       29        29 0.0036373105972712614642
       29        34 0.00058333332949162886635
       29        35 0.00059469698184296763271
       29        40 0.00065625000128057236863
       29        41 0.00059469698184297001796
       30        20 0.00062872025433101960765
       30        22 0.00063657408000263298459
       30        28 0.0007633928652531248981
       30        30 0.0038971560754075375635
       30        32 0.00059589946145782008401
       30        40 0.00072395832191492919851
       30        42 0.00054861109244801068222
       31        21 0.00092757937336240673699
       31        25 0.00083581350632591037281
       31        31 0.005976198721086958647
       31        32 0.00075937951690646654512
       31        36 0.00091803451701242297193
       31        39 0.0010630930543712988935
       31        43 0.00083945515967914275703
       31        44 0.00063284359342931080332
       32        21 0.00088624338326216548552
       32        22 0.00076884920313084477005
       32        30 0.00059589946145782008401
       32        31 0.00075937951690646654512
       32        32 0.004075396825645050819
       32        42 0.00050946969278521441957
       32        44 0.00055555556810254081573
       33        24 0.00029166665556840500398
       33        33 0.0017727272199523223979
       33        34 0.00058333331722921284886
       33        45 0.00030303029274694845852
       33        46 0.0005946969544077563034
       34        23 0.00060416663849416211204
       34        24 0.0006041666367867347268
       34        29 0.00058333332949162897477
       34        33 0.00058333331722921284886
       34        34 0.0035643938751326858377
       34        35 0.00059469698184296828324
       34        46 0.00059469697128797954257
       35        29 0.00059469698184296774113
       35        34 0.00059469698184296828324
       35        35 0.0035844988617161331092
       35        41 0.00060606060373229794086
       35        46 0.00060606061925434209434
       35        47 0.00059149182976075704438
       35        48 0.00059149184528280076417
       36        25 0.00059895834098117354746
       36        26 0.00050781251413960985623
       36        31 0.00091803451701242297193
       36        36 0.0044842697598871262415
       36        37 0.00058593750400177696969
       36        39 0.0010572390349606133626
       36        49 0.00081628784879153061787
       37        26 0.00054687503441527862171
       37        27 0.00058593753361492310634
       37        36 0.00058593750400177696969
       37        37 0.0035520833949073378835
       37        38 0.00062500001429968005118
       37        49 0.00060416664873871070256
       37        50 0.00060416665983696897415
       38        27 0.00031250001173854411677
       38        37 0.00062500001429968005118
       38        38 0.0018333333824217868703
       38        50 0.00060416667947234953522
       38        51 0.00029166667691121376344
       39        31 0.0010630930543712988935
       39        36 0.0010572390349606133626
       39        39 0.0048215488300169528912
       39        43 0.00082070708822326479508
       39        49 0.00077376031097487515519
       39        52 0.00053282829182459850483
       39        53 0.00057392104966230293901
       40        28 0.00079687499370387226711
       40        29 0.00065625000128057236863
       40        30 0.00072395832191492919851
       40        40 0.0041972853573447313144
       40        41 0.00062121213638492191189
       40        42 0.00068055554858357158662
       40        55 0.00071843435547686452375
