# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
3606 3606 0  24436
        1         1 2.2223701869833378808
        1         5 -0.21929053320114594294
        1         9 -0.62091567959199034377
        1        10 -1.3821639741902020937
        2         2 1.8265123484299630174
        2         3 -0.22694869563009012481
        2         6 -0.23378885693794385081
        2         7 -0.99170868842405923704
        2        11 -0.37406610743786994355
        3         2 -0.22694869563009012481
        3         3 1.8336044680768976978
        3         4 -0.26058719224795406921
        3        11 -1.0022139018273261701
        3        17 -0.34385467837152761117
        4         3 -0.26058719224795406921
        4         4 1.8069309995812130598
        4        12 -0.21666737074272693353
        4        17 -0.93845544051620133352
        4        18 -0.39122099607433041824
        5         1 -0.21929053320114594294
        5         5 1.8264952209887930223
        5        10 -0.38849235633316869798
        5        16 -0.22504071359744495795
        5        19 -0.99367161785703361776
        6         2 -0.23378885693794385081
        6         6 1.8408456009461695579
        6         7 -0.34384509193866386045
        6         8 -0.24128716440108932684
        6        20 -1.0219244876684723256
        7         2 -0.99170868842405923704
        7         6 -0.34384509193866386045
        7         7 3.7000711328021234081
        7        11 -0.55942875539088543491
        7        20 -0.5767726987139774053
        7        21 -0.2063906384524140103
        7        22 -1.0219252598821233491
        8         6 -0.24128716440108932684
        8         8 1.8724700844843473746
        8         9 -0.20902500026322595739
        8        20 -0.32995985434118135782
        8        23 -1.092198065478850566
        9         1 -0.62091567959199045479
        9         8 -0.20902500026322595739
        9         9 1.9611880025525649796
        9        10 -0.044416256620463390181
        9        23 -0.82217578259938661756
        9        24 -0.26465528347749894822
       10         1 -1.3821639741902020937
       10         5 -0.38849235633316869798
       10         9 -0.04441625662046333467
       10        10 4.0329605890914121957
       10        19 -0.52647632383118869726
       10        24 -0.69773912323704645466
       10        25 -0.99367255487934236236
       11         2 -0.37406610743786999906
       11         3 -1.0022139018273261701
       11         7 -0.55942875539088543491
       11        11 3.7100662460731910208
       11        17 -0.54851423392943510216
       11        21 -1.0385235745874743518
       11        26 -0.18731967290019968519
       12         4 -0.21666737074272693353
       12        12 1.8835941236851743152
       12        13 -0.25627658255669066856
       12        18 -1.1095546107100482391
       12        27 -0.30109555967570877932
       13        12 -0.25627658255669066856
       13        13 1.8450825256362590743
       13        14 -0.2469105572041819241
       13        27 -1.0246136202416682437
       13        28 -0.317281765633718571
       14        13 -0.2469105572041819241
       14        14 1.8272861563294209297
       14        15 -0.23847513735858702488
       14        28 -0.98906571256231179401
       14        29 -0.35283474920434043653
       15        14 -0.23847513735858705264
       15        15 1.8113859584964258076
       15        29 -0.95354939821994255666
       15        30 -0.23100171747227293828
       15        31 -0.38835970544562326001
       16         5 -0.22504071359744495795
       16        16 1.8384983191728809793
       16        19 -0.36223116310844993837
       16        36 -1.0199472047093318672
       16        37 -0.23127923775765435455
       17         3 -0.34385467837152761117
       17         4 -0.93845544051620133352
       17        11 -0.54851423392943510216
       17        17 3.6839577164077019766
       17        18 -0.54798241074517739513
       17        26 -1.0488473557932049829
       17        39 -0.25630359705215544075
       18         4 -0.39122099607433041824
       18        12 -1.1095546107100482391
       18        17 -0.54798241074517728411
       18        18 3.667374459677922971
       18        27 -0.55353420319436064112
       18        39 -0.80480882870315562094
       18        40 -0.26027341025085071191
       19         5 -0.99367161785703361776
       19        10 -0.52647632383118869726
       19        16 -0.36223116310844993837
       19        19 3.7843325761278143737
       19        25 -0.68122016049496270096
       19        36 -0.89550965636689339178
       19        38 -0.091634949620656103164
       19        41 -0.23358870484862959138
       20         6 -1.0219244876684723256
       20         7 -0.5767726987139774053
       20         8 -0.32995985434118135782
       20        20 3.6633445187110154073
       20        22 -0.29533018171062352941
       20        23 -0.5232589030690415477
       20        43 -0.91609839320771879745
       21         7 -0.2063906384524140103
       21        11 -1.0385235745874743518
       21        21 3.9906404854191408482
       21        22 -1.0380337817530163047
       21        26 -0.60436384281474397895
       21        42 -1.0325244118117362646
       21        44 -0.070804235999756659492
       22         7 -1.0219252598821233491
       22        20 -0.29533018171062358492
       22        21 -1.0380337817530165267
       22        22 3.9625999163586813623
       22        43 -0.51031689477826880363
       22        44 -1.0969937982346487093
       23         8 -1.0921980654788507881
       23         9 -0.82217578259938650653
       23        20 -0.5232589030690415477
       23        23 3.9313443441857200966
       23        24 -0.12555100424257015224
       23        43 -0.28742921707027746514
       23        45 -1.0807313717255935259
       24         9 -0.26465528347749894822
       24        10 -0.69773912323704634364
       24        23 -0.12555100424257015224
       24        24 3.6266554926860097297
       24        25 -0.59487155944879210878
       24        45 -0.77324694926922599159
       24        46 -0.67013437055463109804
       24        47 -0.50045720245624514266
       25        10 -0.99367255487934236236
       25        19 -0.68122016049496270096
       25        24 -0.59487155944879188674
       25        25 3.8237337119814283071
       25        41 -0.63552734538558841582
       25        47 -0.91844209177274249711
       26        11 -0.18731967290019968519
       26        17 -1.0488473557932049829
       26        21 -0.60436384281474397895
       26        26 3.6191959365320522934
       26        39 -0.60070233786203863779
       26        42 -0.59553264350462820076
       26        48 -0.58243008365723747399
       27        12 -0.30109555967570877932
       27        13 -1.0246136202416682437
       27        18 -0.55353420319436064112
       27        27 3.6799439922890018195
       27        28 -0.62796909758780472544
       27        40 -0.91000099328219730133
       27        55 -0.26273051830726179556
       28        13 -0.317281765633718571
       28        14 -0.98906571256231179401
       28        27 -0.62796909758780472544
       28        28 3.723223654447925135
       28        29 -0.60583406466411693359
       28        55 -1.0246146697239373324
       28        56 -0.1584583442760355565
       29        14 -0.35283474920434043653
       29        15 -0.95354939821994255666
       29        28 -0.60583406466411704461
       29        29 3.6809508000232558089
       29        31 -0.58567655795345396896
       29        54 -0.19401417799547471255
       29        56 -0.98904185198592686756
       30        15 -0.23100171747227293828
       30        30 1.8201077747738847457
       30        31 -0.96666481372520007831
       30        32 -0.27183311026676115763
       30        57 -0.35060813330965046042
       31        15 -0.38835970544562326001
       31        29 -0.58567655795345396896
       31        30 -0.96666481372519996729
       31        31 3.6934857418232418524
       31        54 -1.0102081023312605712
       31        57 -0.5740330681196067486
       31        58 -0.16854349424809766944
       32        30 -0.27183311026676115763
       32        32 1.7901647756345315798
       32        57 -0.88919014735626478174
       32        60 -0.21722398553630356544
       32        61 -0.4119175324752019085
       33        33 1.8092593170915720613
       33        34 -0.24539898360216930162
       33        59 -0.254882424256563489
       33        62 -0.94214767048612269029
       33        63 -0.3668302387467169412
       34        33 -0.24539898360216930162
       34        34 1.8185737544034872304
       34        35 -0.26428178245408667779
       34        63 -0.96072701274765381907
       34        64 -0.34816597559957718211
       35        34 -0.26428178245408667779
       35        35 2.1453490611867764848
       35        64 -1.3086587153286366458
       35        65 -0.57240856340405343872
       36        16 -1.0199472047093318672
       36        19 -0.89550965636689339178
       36        36 3.9830814991291982885
       36        37 -0.33597752036273931253
       36        38 -1.1933368246441027338
       36        68 -0.53831029304613076114
       37        16 -0.23127923775765435455
       37        36 -0.33597752036273931253
       37        37 1.8514862322922776006
       37        68 -1.04619119518591841
       37        70 -0.23803827898596549573
       38        19 -0.091634949620656047653
       38        36 -1.1933368246441027338
       38        38 3.9333259742797030967
       38        41 -0.55687031837677203328
       38        68 -0.35358559403858969006
       38        69 -1.0629652427519264979
       38        71 -0.67493304484765659357
       39        17 -0.25630359705215549626
       39        18 -0.80480882870315562094
       39        26 -0.60070233786203863779
       39        39 3.6633052241204477895
       39        40 -0.84275477173134116793
       39        48 -0.85465303575991891094
       39        73 -0.30408265301183845519
       40        18 -0.26027341025085071191
       40        27 -0.91000099328219741235
