# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
3606 3606 0  24436
        1         1 1.2139723916449805769e-05
        1         5 3.0349309791124865942e-06
        1         9 3.0349309791124192551e-06
        1        10 6.0698619582249045787e-06
        2         2 1.8292147565491090452e-05
        2         3 3.0713187869355401539e-06
        2         6 3.0713616162761243042e-06
        2         7 6.0747549958100050723e-06
        2        11 6.0747121664694213455e-06
        3         2 3.0713187869355401539e-06
        3         3 1.8988831672025404957e-05
        3         4 3.247458733326395623e-06
        3        11 6.2469571026863085497e-06
        3        17 6.4230970490771648659e-06
        4         3 3.247458733326395623e-06
        4         4 1.882118730047207305e-05
        4        12 2.932299030093388712e-06
        4        17 6.478294620142647813e-06
        4        18 6.163134916909641749e-06
        5         1 3.0349309791124870177e-06
        5         5 1.8094238890865439561e-05
        5        10 6.0121884663203030663e-06
        5        16 3.0349309791124201021e-06
        5        19 6.0121884663202344566e-06
        6         2 3.0713616162761243042e-06
        6         6 1.8292315319102409201e-05
        6         7 6.0747960432750832608e-06
        6         8 3.0713616162761230336e-06
        6        20 6.0747960432750832608e-06
        7         2 6.0747549958100050723e-06
        7         6 6.0747960432750832608e-06
        7         7 3.758977478336727367e-05
        7        11 6.2690630809350715905e-06
        7        20 6.2691021909247858509e-06
        7        21 6.4510302049488476059e-06
        7        22 6.4510282674734853719e-06
        8         6 3.0713616162761230336e-06
        8         8 1.7982189533443151128e-05
        8         9 2.9127924068906289567e-06
        8        20 6.0783023598309491486e-06
        8        23 5.9197331504454533775e-06
        9         1 3.0349309791124192551e-06
        9         8 2.9127924068906289567e-06
        9         9 3.7331409930484141962e-05
        9        10 9.5485704669945239959e-06
        9        23 9.1171344982475520673e-06
        9        24 1.2717981579239026157e-05
       10         1 6.0698619582249054258e-06
       10         5 6.0121884663203030663e-06
       10         9 9.5485704669945223018e-06
       10        10 4.3768405221412128405e-05
       10        19 6.1721854398855739791e-06
       10        24 9.6421552125955907269e-06
       10        25 6.3234436773912422225e-06
       11         2 6.0747121664694213455e-06
       11         3 6.2469571026863085497e-06
       11         7 6.2690630809350715905e-06
       11        11 3.8670605216595922227e-05
       11        17 6.628012628600818648e-06
       11        21 6.63257781322772112e-06
       11        26 6.8192824246765818203e-06
       12         4 2.932299030093388712e-06
       12        12 1.8213308890484232244e-05
       12        13 3.1260054305548360317e-06
       12        18 5.9806490146872834783e-06
       12        27 6.1743554151487274099e-06
       13        12 3.1260054305548360317e-06
       13        13 1.8590462513642931039e-05
       13        14 3.1260054305548360317e-06
       13        27 6.1692258262666303348e-06
       13        28 6.1692258262666303348e-06
       14        13 3.1260054305548360317e-06
       14        14 1.8590283089211926456e-05
       14        15 3.1259604597472207469e-06
