# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
2587 2587 0  33499
        1         1 0.13036498293321138742
        1      2168 -0.027173278843717667275
        1      2171 -0.074769119588762311679
        1      2173 -0.050564750228608568161
        1      2275 0.0060355851068841573359
        1      2303 0.0094562436283734570275
        1      2382 0.00045345420808229667219
        1      2529 0.0061968827845372735988
        2         2 0.1300696359541056446
        2      2208 -0.048019634687681493623
        2      2211 -0.075822054119114454251
        2      2213 -0.030306111547374163517
        2      2261 0.0075814374684235758678
        2      2362 0.0014012058154342036526
        2      2409 0.0087078993784314162596
        2      2534 0.0063876217377752978963
        3         3 0.25227938195579657776
        3      1222 -0.039609427116326867413
        3      1226 -0.013380398187599415114
        3      1228 -0.044003020638164414002
        3      1423 -0.017668374153091227774
        3      1424 -0.086632288388856365513
        3      1534 0.00011308736918980936276
        3      1897 0.015240826580759677181
        3      1915 -0.0022814220205351698825
        3      2080 0.011763688717941814948
        3      2210 -0.075822054119114440374
        4         4 0.27441631403835831104
        4       882 -0.016442373238143445646
        4       883 0.0052538633697460368488
        4       884 -0.089329438379339876075
        4      1188 -0.016312798860547993857
        4      1333 0.006408905770914703065
        4      1428 -0.086632288388856379391
        4      1432 -0.030230040342999774106
        4      1579 -0.055785721465689844245
        4      1636 -0.0030795028764667121621
        4      1785 0.011733080373024982329
        5         5 0.17040726712403192478
        5      1581 -0.055785721465689865062
        5      1584 -0.0081758598032072200834
        5      1586 -0.063177052312802198242
        5      1861 0.0054029954406772436742
        5      1877 -0.04867162898300981394
        6         6 0.26625915649677389663
        6       311 -0.010559041797022892042
        6       317 -0.0038722367035963871362
        6       318 -0.087409436354927677604
        6       329 -0.0042703765895216270337
        6       359 -0.116700729783274601
        6      1238 0.011359783123317434422
        6      1704 -0.021860434407205708157
        6      1876 -0.048671628983009827818
        6      2200 0.015724944998467393215
        7         7 0.37449506079314054396
        7       170 -0.056163606706807811531
        7       171 -0.0031514542809103155557
        7       172 -0.090299612223391390042
        7       192 0.031320481174868471108
        7       213 -0.0020149371550202011677
        7       280 -0.051804911152656112072
        7       354 -0.066785099747328741104
        7       355 -0.11670072978327443447
        7       406 0.043343509681259467792
        7      1009 0.016226405193660302373
        7      1183 -0.0079042409215059426103
        7      1506 -0.070560864872033918216
        8         8 0.23127620540764426416
        8      1500 -0.020168594608036664179
        8      1501 -0.070560864872034251283
        8      1502 -0.12089012758622329213
        8      1550 0.0014856166934884458553
        8      2290 -0.037422100579328362868
        8      2291 0.011795323247418585538
        8      2374 0.0044845422970712115959
        9         9 0.17624473655152228524
        9      1135 -0.0038689269102119977495
        9      1138 -0.067020062865439378186
        9      1139 -0.071136651769643025056
        9      1261 0.0032030055731005853056
        9      2292 -0.037422100579328432257
       10        10 0.27003332030384513684
       10       708 -0.026976984538281997827
       10       711 -0.11883018388546906507
       10       712 0.0028991033782447724054
       10       878 -0.0047539588966360657105
       10      1140 -0.067020062865439142263
       10      1266 -0.011254816135445096931
       10      1701 0.037361013133041250101
       10      1760 -0.050415864566909468492
       10      1820 -0.031041565926950343002
       11        11 0.23510521195386746562
       11      1158 -0.0086092463865557987412
       11      1161 -0.015180731561647238526
       11      1163 -0.062636096990815723351
       11      1256 -0.021852575224680544086
       11      1283 0.00020710083634647644124
       11      1512 0.019545395660930140608
       11      1518 -0.021394074131773164332
       11      1761 -0.050415864566909496247
       11      2170 -0.074769119588762075757
       12        12 0.11871646656161562172
       12      2335 -0.033248024501775136352
       12      2338 -0.0019867646069877185726
       12      2340 -0.084464639979076369669
       12      2383 0.00045345420808232898141
       12      2519 0.0005295083181413186681
       13        13 0.094019458498359839704
       13      2225 -0.010121255565384896027
       13      2228 -0.01199324287658316314
       13      2229 -0.06589498877775282204
       13      2359 -0.010949947567956627714
       13      2443 -0.013294325065587706339
       13      2520 0.00052950831814130186297
       13      2523 0.01770479303676409516
       14        14 0.14198310633609612097
       14      2444 -0.013294325065587494702
       14      2447 0.007402816959489729419
       14      2448 -0.12711387902367721203
       14      2513 -0.0057196972853541172208
       14      2547 -0.0032580219209669960753
       15        15 0.10164950370147311787
       15      2032 -0.053782871183350434985
       15      2035 -0.015369784952515442439
       15      2037 -0.047054520534126953457
       15      2150 0.029220476531996431718
       15      2392 -0.011666234758811764444
       15      2440 0.00026145311630193789369
       15      2548 -0.0032580219209668954614
       16        16 0.12526360483809353963
       16      1656 -0.07604138743952819357
       16      1659 -0.0075929654042685328433
       16      1661 -0.050661818729921578863
       16      1894 -0.0045595002567845703545
       16      2372 0.013330613876107339291
       16      2441 0.00026145311630195269305
       17        17 0.16387206859454189756
       17      1807 -0.014086754251126321069
       17      1808 -0.077515144132521779374
       17      1809 -0.094480490780464859712
       17      1867 -0.0077154678348386757786
       17      2371 0.013330613876107342761
       17      2380 0.016595174528302406025
       18        18 0.14070437791811402084
       18      2020 -0.021328024240779556997
       18      2025 -0.072748776529909200961
       18      2026 -0.027845417164798238335
       18      2045 0.0048653716107412304376
       18      2177 -0.015359751215735812507
       18      2216 -0.033055522608904951143
       18      2378 0.016595174528302406025
       18      2483 0.0081725677029701303961
       19        19 0.11185359681508821872
       19      2158 -0.066826848944976285916
       19      2161 -0.003675287875630497969
       19      2162 -0.030972249196613194783
       19      2395 -0.011861866573544443265
       19      2413 -0.006689911927294026929
       19      2481 0.0081725677029701754989
       20        20 0.10298439070595971634
       20      2317 -0.012354660906436106677
       20      2323 -0.070885648143498986018
       20      2324 -0.029075842724121472166
       20      2343 0.016021672995390909278
       20      2415 -0.0066899119272940312658
       21        21 0.10162917153900419276
       21      2314 -0.012354660906436059839
       21      2315 0.00059704845154499256582
       21      2316 -0.020105426807135416689
       21      2418 -0.078365617093413442173
       21      2475 0.01788686723749430274
       21      2516 -0.0092873824210585580879
       22        22 0.09856496793114086219
       22      1976 0.004971636585898255023
       22      1979 -0.051756898017285835056
       22      1980 -0.022939373037742231964
       22      2244 0.0081520369461698660718
       22      2328 -0.018369744154972111883
       22      2489 -0.0093352438321501977209
       22      2515 -0.0092873824210586083949
       23        23 0.1029303244143465329
       23      2491 -0.0093352438321502306806
       23      2494 -0.076096395426892449176
       23      2496 -0.023695567939841118837
       23      2527 0.0061968827845372987523
       24        24 0.11437163568953670478
