# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
2587 2587 0  33499
        1         1 0.00024381180480506357594
        1      2168 6.7931617606286571532e-05
        1      2171 8.6236822187533800207e-05
        1      2173 8.1788751386434798904e-05
        1      2275 5.3974284796245202886e-05
        1      2303 4.0117151016096982291e-05
        1      2382 2.1091413826025881258e-05
        1      2529 1.457766638897209126e-05
        2         2 0.00024446062413555443753
        2      2208 8.1486144168424809843e-05
        2      2211 8.6712834328693798877e-05
        2      2213 6.926702625521441903e-05
        2      2261 5.2963285812562765854e-05
        2      2362 2.068445424959850106e-05
        2      2409 4.0744167899352368265e-05
        2      2534 1.4833023489484868006e-05
        3         3 0.0008835539858933149325
        3      1222 0.00020127851009131404281
        3      1226 0.00018617674633665824745
        3      1228 0.00027618124145249885442
        3      1423 4.0602051357063907852e-05
        3      1424 0.00011504153594414504632
        3      1534 0.00014109928233503268467
        3      1897 8.9549062372060566077e-05
        3      1915 0.00010646758191050270312
        3      2080 8.2222132712002127036e-05
        3      2210 8.6712834328694137691e-05
        4         4 0.0010012971375880034414
        4       882 0.00022876957018938274733
        4       883 0.00014271523289812197612
        4       884 0.00036371528782302140793
        4      1188 0.00021374087220872364508
        4      1333 9.3017296751716265694e-05
        4      1428 0.00011504153594414512764
        4      1432 4.350443138320343251e-05
        4      1579 6.8118681497308456179e-05
        4      1636 0.0001448670467799067379
        4      1785 8.845575090647531146e-05
        5         5 0.00027059872111363244369
        5      1581 6.8118681497308415521e-05
        5      1584 6.7751472333147863547e-05
        5      1586 0.00013529936055681622185
        5      1861 6.7547888223668331193e-05
        5      1877 6.7180679059507792772e-05
        6         6 0.00090098507974598301788
        6       311 0.00013076728721524703185
        6       317 0.00020693902275133852463
        6       318 0.00025929070554492035863
        6       329 0.00025254457359823672498
        6       359 0.00014854957928417039984
        6      1238 8.2732487146176174417e-05
        6      1704 0.00013590302356977340117
